States,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PA,25.597126,24.346338,23.694345,26.281272,25.152536,23.807429,20.167273,21.634716,25.296727,19.81018,20.145666,19.386692,17.213576,19.95973,22.245924,20.684449
RI,2.503818,2.570404,2.457922,2.797965,2.779866,2.690509,2.188029,2.273171,2.223765,2.322452,2.209667,2.10984,2.036794,2.236313,2.30647,2.424528
SC,2.431434,2.179875,2.160486,2.328795,2.355949,2.267525,1.94765,1.854432,1.942407,1.926009,2.257604,1.829207,1.514546,1.841704,2.063754,1.848734
SD,1.215133,1.135981,1.176366,1.202317,1.058933,1.045365,0.978705,1.039821,1.222281,1.151779,1.050367,1.041108,0.875337,1.089063,1.095596,0.935453
TN,4.802983,4.561664,4.656572,4.628664,4.396881,4.410512,4.073455,4.048147,4.389912,4.327068,4.822811,4.127884,3.196355,4.210628,4.754901,4.129897
TX,12.949646,13.988355,13.893784,13.354848,12.144349,12.011309,10.502306,12.465165,12.000375,11.731156,13.684004,12.042167,10.184379,12.346472,14.012207,12.794993
UT,3.252116,3.295853,3.53511,3.230912,3.57778,3.396553,3.540497,3.548824,3.885618,3.78336,3.784967,4.000592,3.426381,4.063358,3.579534,3.355257
VT,1.582996,1.570604,1.471169,1.576057,1.767224,1.629914,1.52199,1.492554,1.30779,1.466668,1.300519,1.266544,1.095844,1.261163,1.378072,1.412727
VA,3.668102,3.541014,3.250241,3.089335,2.983225,2.721287,2.506686,2.37507,2.529573,2.496246,2.85928,2.344454,1.755573,2.188109,2.428255,2.129964
WA,1.729165,1.796026,1.614116,1.652948,1.790486,1.760192,2.140628,1.837734,1.775532,1.748371,1.67576,1.717991,1.753785,1.551159,1.454912,1.579612
WV,2.130566,2.190491,2.166258,2.132916,2.24162,2.129516,2.151075,2.273927,2.416741,2.181863,2.324541,2.402588,2.088107,2.40749,2.027571,2.130436
WI,3.668102,3.541014,3.250241,3.089335,2.983225,2.721287,2.506686,2.37507,2.529573,2.496246,2.85928,2.344454,1.755573,2.188109,2.428255,2.129964
WY,1.729165,1.796026,1.614116,1.652948,1.790486,1.760192,2.140628,1.837734,1.775532,1.748371,1.67576,1.717991,1.753785,1.551159,1.454912,1.579612
